ticker,month,monthly_return_percentage
MPOW.JK,2023-11,0.0
MPOW.JK,2023-12,-6.349206349206349
SOSS.JK,2023-01,-18.666666666666668
SOSS.JK,2023-02,4.615384615384616
SOSS.JK,2023-03,-3.125
SOSS.JK,2023-04,23.774509803921568
SOSS.JK,2023-05,-0.8
SOSS.JK,2023-06,2.0
SOSS.JK,2023-07,-1.9607843137254901
SOSS.JK,2023-08,14.457831325301203
SOSS.JK,2023-09,0.8771929824561403
SOSS.JK,2023-10,2.631578947368421
SOSS.JK,2023-11,-8.547008547008547
SOSS.JK,2023-12,-1.6194331983805668
BABP.JK,2023-01,-12.5
BABP.JK,2023-02,11.956521739130435
BABP.JK,2023-03,-13.26530612244898
BABP.JK,2023-04,-8.13953488372093
BABP.JK,2023-05,-1.2987012987012987
BABP.JK,2023-06,3.9473684210526314
BABP.JK,2023-07,2.5
BABP.JK,2023-08,3.7037037037037033
BABP.JK,2023-09,-8.433734939759036
BABP.JK,2023-10,-15.789473684210526
BABP.JK,2023-11,6.557377049180328
BABP.JK,2023-12,-7.6923076923076925
NICK.JK,2023-01,0.0
NICK.JK,2023-02,-14.220183486238533
NICK.JK,2023-03,-8.83977900552486
NICK.JK,2023-04,-3.6585365853658534
NICK.JK,2023-05,13.20754716981132
NICK.JK,2023-06,16.666666666666664
NICK.JK,2023-07,-0.5102040816326531
NICK.JK,2023-08,10.416666666666668
NICK.JK,2023-09,13.084112149532709
NICK.JK,2023-10,-3.3057851239669422
NICK.JK,2023-11,3.3333333333333335
NICK.JK,2023-12,0.8130081300813009
ABBA.JK,2023-01,-16.55629139072848
ABBA.JK,2023-02,0.78125
ABBA.JK,2023-03,-9.448818897637794
ABBA.JK,2023-04,-5.263157894736842
ABBA.JK,2023-05,-14.814814814814813
ABBA.JK,2023-06,-1.0869565217391304
ABBA.JK,2023-07,-8.695652173913043
ABBA.JK,2023-08,-9.75609756097561
ABBA.JK,2023-09,8.108108108108109
ABBA.JK,2023-10,-12.048192771084338
ABBA.JK,2023-11,-6.8493150684931505
ABBA.JK,2023-12,-22.388059701492537
INDX.JK,2023-01,-13.076923076923078
INDX.JK,2023-02,-15.384615384615385
INDX.JK,2023-03,-24.102564102564102
INDX.JK,2023-04,7.8431372549019605
INDX.JK,2023-05,4.216867469879518
INDX.JK,2023-06,-9.659090909090908
INDX.JK,2023-07,-3.79746835443038
INDX.JK,2023-08,-9.090909090909092
INDX.JK,2023-09,9.30232558139535
INDX.JK,2023-10,6.569343065693431
INDX.JK,2023-11,-4.316546762589928
INDX.JK,2023-12,-12.878787878787879
